elevation_deg,metric,value_db,ecdf
90,snr_db,-19.770654870786327,0.09625
90,snr_db,-19.725240356647728,0.0965
90,snr_db,-19.721813425053284,0.09675
90,snr_db,-19.71570081248744,0.097
90,snr_db,-19.697423607486044,0.09725
90,snr_db,-19.687204292113925,0.0975
90,snr_db,-19.683833141702983,0.09775
90,snr_db,-19.681393238007495,0.098
90,snr_db,-19.673480321202646,0.09825
90,snr_db,-19.669990041654724,0.0985
90,snr_db,-19.648840992491778,0.09875
90,snr_db,-19.647016802956692,0.099
90,snr_db,-19.643634874716977,0.09925
90,snr_db,-19.641551767827348,0.0995
90,snr_db,-19.635124749975922,0.09975
90,snr_db,-19.586426766555682,0.1
90,snr_db,-19.5735129939358,0.10025
90,snr_db,-19.57344012419381,0.1005
90,snr_db,-19.562875676459747,0.10075
90,snr_db,-19.549519378005783,0.101
90,snr_db,-19.54115957242295,0.10125
90,snr_db,-19.492998452081466,0.1015
90,snr_db,-19.429414785229433,0.10175
90,snr_db,-19.426680850670085,0.102
90,snr_db,-19.401123631335505,0.10225
90,snr_db,-19.37906740877888,0.1025
90,snr_db,-19.36624236563127,0.10275
90,snr_db,-19.338613981052678,0.103
90,snr_db,-19.333032791694833,0.10325
90,snr_db,-19.305918884726452,0.1035
90,snr_db,-19.303754738337233,0.10375
90,snr_db,-19.273999477313037,0.104
90,snr_db,-19.264806807922483,0.10425
90,snr_db,-19.259604573315073,0.1045
90,snr_db,-19.24943188976283,0.10475
90,snr_db,-19.201546193776448,0.105
90,snr_db,-19.191227428671343,0.10525
90,snr_db,-19.184405386579012,0.1055
90,snr_db,-19.15820316870756,0.10575
90,snr_db,-19.13260519255586,0.106
90,snr_db,-19.11953625121742,0.10625
90,snr_db,-19.10919824360956,0.1065
90,snr_db,-19.100593139631165,0.10675
90,snr_db,-19.08400062514492,0.107
90,snr_db,-19.046687174490142,0.10725
90,snr_db,-19.035112710182517,0.1075
90,snr_db,-19.011455037401007,0.10775
90,snr_db,-19.004817013919865,0.108
90,snr_db,-18.972243043201733,0.10825
90,snr_db,-18.97028190252704,0.1085
90,snr_db,-18.95787087546463,0.10875
90,snr_db,-18.908522239482412,0.109
