step,satellite_latitude,satellite_longitude,elevation_deg,footprint_radius_m,footprint_area_km2,countries_used,estimated_devices_total,estimated_demodulators_total,sent_packets_sum,decoded_payload_sum,collision_rate,busy_demodulators,idle_demodulators,demod_utilization,baseline_circuit_power_w,per_idle_demodulator_power_w,per_busy_demodulator_power_w,total_power_w,power_formula_check_w
164,6.237728,-28.201581,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
165,6.058272,-28.198775,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
166,5.878817,-28.195916,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
167,5.699363,-28.193003,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
168,5.51991,-28.190035,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
169,5.340459,-28.187013,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
170,5.161008,-28.183935,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
171,4.981559,-28.1808,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
172,4.802111,-28.177609,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
173,4.622665,-28.17436,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
174,4.443219,-28.171053,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
