elevation_bin,collision_rate,ecdf
>55deg,0.003076923076923088,0.8302325581395349
>55deg,0.003076923076923088,0.8325581395348837
>55deg,0.003076923076923088,0.8348837209302326
>55deg,0.003076923076923088,0.8372093023255814
>55deg,0.003076923076923088,0.8395348837209302
>55deg,0.003076923076923088,0.8418604651162791
>55deg,0.003076923076923088,0.8441860465116279
>55deg,0.003076923076923088,0.8465116279069768
>55deg,0.003076923076923088,0.8488372093023255
>55deg,0.003076923076923088,0.8511627906976744
>55deg,0.003076923076923088,0.8534883720930233
>55deg,0.003076923076923088,0.8558139534883721
>55deg,0.003076923076923088,0.858139534883721
>55deg,0.0031372549019608176,0.8604651162790697
>55deg,0.0031372549019608176,0.8627906976744186
>55deg,0.0031372549019608176,0.8651162790697674
>55deg,0.0031372549019608176,0.8674418604651163
>55deg,0.0064885496183205715,0.8697674418604651
>55deg,0.0064885496183205715,0.872093023255814
>55deg,0.0064885496183205715,0.8744186046511628
>55deg,0.015196998123827354,0.8767441860465116
>55deg,0.015196998123827354,0.8790697674418605
>55deg,0.015196998123827354,0.8813953488372093
>55deg,0.015196998123827354,0.8837209302325582
>55deg,0.16997084548104957,0.8860465116279069
>55deg,0.16997084548104957,0.8883720930232558
>55deg,0.16997084548104957,0.8906976744186047
>55deg,0.16997084548104957,0.8930232558139535
>55deg,0.16997084548104957,0.8953488372093024
>55deg,0.16997084548104957,0.8976744186046511
>55deg,0.16997084548104957,0.9
>55deg,0.16997084548104957,0.9023255813953488
>55deg,0.16997084548104957,0.9046511627906977
>55deg,0.16997084548104957,0.9069767441860465
>55deg,0.16997084548104957,0.9093023255813953
>55deg,0.16997084548104957,0.9116279069767442
>55deg,0.16997084548104957,0.913953488372093
>55deg,0.16997084548104957,0.9162790697674419
>55deg,0.16997084548104957,0.9186046511627907
>55deg,0.16997084548104957,0.9209302325581395
>55deg,0.16997084548104957,0.9232558139534883
>55deg,0.16997084548104957,0.9255813953488372
>55deg,0.16997084548104957,0.9279069767441861
>55deg,0.458587786259542,0.9302325581395349
>55deg,0.458587786259542,0.9325581395348838
>55deg,0.458587786259542,0.9348837209302325
>55deg,0.458587786259542,0.9372093023255814
>55deg,0.458587786259542,0.9395348837209302
>55deg,0.458587786259542,0.9418604651162791
>55deg,0.458587786259542,0.9441860465116279
>55deg,0.458587786259542,0.9465116279069767
>55deg,0.458587786259542,0.9488372093023256
>55deg,0.458587786259542,0.9511627906976744
>55deg,0.458587786259542,0.9534883720930233
>55deg,0.458587786259542,0.9558139534883721
>55deg,0.458587786259542,0.958139534883721
>55deg,0.458587786259542,0.9604651162790697
>55deg,0.458587786259542,0.9627906976744186
>55deg,0.6684803001876172,0.9651162790697675
>55deg,0.6684803001876172,0.9674418604651163
>55deg,0.6684803001876172,0.9697674418604652
>55deg,0.6684803001876172,0.9720930232558139
>55deg,0.6684803001876172,0.9744186046511628
>55deg,0.6684803001876172,0.9767441860465116
>55deg,0.6684803001876172,0.9790697674418605
>55deg,0.6684803001876172,0.9813953488372092
>55deg,0.6684803001876172,0.9837209302325581
>55deg,0.6684803001876172,0.986046511627907
>55deg,0.6684803001876172,0.9883720930232558
>55deg,0.6684803001876172,0.9906976744186047
>55deg,0.6684803001876172,0.9930232558139535
>55deg,0.6684803001876172,0.9953488372093023
>55deg,0.6684803001876172,0.9976744186046511
>55deg,0.6684803001876172,1.0
