feature_name,feature_type,country,ocean,population,latitude,longitude
Unknown River,River,Nigeria,,0,11.348293221726067,9.83399176108565
Unknown River,River,Congo,,0,-3.923956980031402,13.708930772539293
Unknown River,River,Angola,,0,-13.052660032741926,20.939764668292487
Unknown River,River,Zambia,,0,-12.75914614993825,31.76529142868563
Unknown River,River,Tanzania,,0,-7.90823296388236,35.5968243255484
Unknown River,River,Ethiopia,,0,12.886590345651546,38.548420536272644
Unknown River,River,Thailand,,0,15.190687907721584,103.56429571665888
Unknown River,River,Thailand,,0,15.940839388134611,103.07121723589512
Unknown River,River,Malaysia,,0,4.961496505920223,101.12833064718939
Unknown River,River,China,,0,42.05429878521823,116.16406284304782
Unknown River,River,Vietnam,,0,22.39754966542358,102.86279937048462
Unknown River,River,Russia,,0,49.86200544756803,112.81606063047236
Unknown River,River,Japan,,0,36.163258782416904,139.73393814817788
Unknown River,River,Russia,,0,62.85357411867081,100.88053003474934
Unknown River,River,Russia,,0,69.09634740938685,153.18556252633454
Unknown River,River,Russia,,0,55.72757370539715,95.13437370125482
Unknown River,River,Russia,,0,72.08367925748314,109.99403845038096
Unknown River,River,Brazil,,0,-13.957459398338647,-40.55155292344287
Unknown River,River,Brazil,,0,-0.3287752657603552,-54.643990539086644
Unknown River,River,Ecuador,,0,1.0367619476768999,-78.45368896346763
Unknown River,River,Chile,,0,-27.597864432541723,-70.01380123162396
Unknown River,River,Argentina,,0,-28.205187491231285,-64.08638866591392
Unknown River,River,Vietnam,,0,19.20619801696744,104.77470227807562
Unknown River,River,South Korea,,0,36.07689492884417,128.60693399021974
Unknown River,River,Russia,,0,68.55775394691182,173.93788211711552
Unknown River,River,South Africa,,0,-32.259234210137315,27.41717524721122
Unknown River,River,Dem. Rep. Congo,,0,-3.386131383033555,21.054338799489223
Unknown River,River,Russia,,0,53.00740202315177,87.46382483903203
Unknown River,River,China,,0,41.3517582296699,120.5006856351985
Unknown River,River,Russia,,0,67.13698936104934,164.36753332543523
Unknown River,River,Central African Rep.,,0,10.370096427567658,21.729971427795046
Unknown River,River,Argentina,,0,-42.24662824386424,-70.89416339601433
Unknown River,River,Peru,,0,-16.652973371386633,-71.01863860441007
Unknown River,River,Peru,,0,-13.465073285826078,-75.63103427006466
Unknown River,River,Peru,,0,-15.531975327371951,-73.2515001746237
Unknown River,River,Bolivia,,0,-16.78977459126753,-64.54542599006948
Unknown River,River,Brazil,,0,-8.304177033349452,-35.93551312443002
Unknown River,River,Brazil,,0,-8.01087041031557,-42.60432345199467
Unknown River,River,South Africa,,0,-32.23153331709604,18.80134187827959
Unknown River,River,Congo,,0,-1.5318225117439785,15.379447434585293
Unknown River,River,Dem. Rep. Congo,,0,3.5391092563301507,21.79846309762186
Unknown River,River,Dem. Rep. Congo,,0,3.532113147286543,19.24952691110623
Unknown River,River,Central African Rep.,,0,6.28511925228891,24.284617495139447
Unknown River,River,Mali,,0,13.64617826560349,-8.879594323726437
Unknown River,River,Morocco,,0,34.099552744909616,-5.392521264771171
Unknown River,River,Angola,,0,-8.907805514867405,15.419632104445217
Unknown River,River,Gabon,,0,-1.6662835729426975,11.124174330681939
Unknown River,River,Brazil,,0,-24.66971735867085,-48.611297693983346
Unknown River,River,China,,0,22.571201139968178,107.02900956519959
Unknown River,River,China,,0,25.822353695897743,108.49747798190043
Unknown River,River,Japan,,0,38.41163920344485,140.14501107211856
Unknown River,River,Brazil,,0,-8.718565092822358,-66.08204371382
Unknown River,River,Liberia,,0,7.516820948021129,-9.69376795921439
Unknown River,River,Central African Rep.,,0,4.57786196995233,17.050748917835115
Unknown River,River,Cameroon,,0,2.6860037791561338,13.930551188670444
Unknown River,River,Dem. Rep. Congo,,0,-6.138425330536316,23.246054396936913
Unknown River,River,Dem. Rep. Congo,,0,-6.712076706441085,18.97093379041501
Unknown River,River,Zambia,,0,-10.59804377582225,31.190404619784047
Unknown River,River,Angola,,0,-5.941305064900079,15.205954999059768
Unknown River,River,Tanzania,,0,-6.452161255349319,33.192864203706755
Unknown River,River,Tanzania,,0,-4.371148089468691,30.70645138065098
Unknown River,River,China,,0,42.5947131839766,127.88288937830963
Unknown River,River,China,,0,51.218949655438244,125.39066806027382
